Quarter,County,VALUE
2006Q4,All Counties,12943
2006Q4,Carlow,224
2006Q4,Dublin,3081
2006Q4,Kildare,578
2006Q4,Kilkenny,206
2006Q4,Laois,564
2006Q4,Longford,319
2006Q4,Louth,325
2006Q4,Meath,573
2006Q4,Offaly,206
2006Q4,Westmeath,406
2006Q4,Wexford,328
2006Q4,Wicklow,374
2006Q4,Clare,278
2006Q4,Cork,1437
2006Q4,Kerry,508
2006Q4,Limerick,696
2006Q4,Tipperary,328
2006Q4,Waterford,151
2006Q4,Galway,397
2006Q4,Leitrim,266
2006Q4,Mayo,314
2006Q4,Roscommon,298
2006Q4,Sligo,376
2006Q4,Cavan,380
2006Q4,Donegal,279
2006Q4,Monaghan,51
2007Q1,All Counties,13751
2007Q1,Carlow,418
2007Q1,Dublin,3372
2007Q1,Kildare,1134
2007Q1,Kilkenny,357
2007Q1,Laois,483
2007Q1,Longford,140
2007Q1,Louth,332
2007Q1,Meath,222
2007Q1,Offaly,220
2007Q1,Westmeath,301
2007Q1,Wexford,365
2007Q1,Wicklow,214
2007Q1,Clare,357
2007Q1,Cork,1615
2007Q1,Kerry,378
2007Q1,Limerick,577
2007Q1,Tipperary,703
2007Q1,Waterford,473
2007Q1,Galway,629
2007Q1,Leitrim,46
2007Q1,Mayo,266
2007Q1,Roscommon,144
2007Q1,Sligo,155
2007Q1,Cavan,402
2007Q1,Donegal,376
2007Q1,Monaghan,72
2007Q2,All Counties,10831
2007Q2,Carlow,211
2007Q2,Dublin,2976
2007Q2,Kildare,403
2007Q2,Kilkenny,110
2007Q2,Laois,568
2007Q2,Longford,101
2007Q2,Louth,127
2007Q2,Meath,457
2007Q2,Offaly,165
2007Q2,Westmeath,338
2007Q2,Wexford,389
2007Q2,Wicklow,221
2007Q2,Clare,268
2007Q2,Cork,1037
2007Q2,Kerry,438
2007Q2,Limerick,408
2007Q2,Tipperary,480
2007Q2,Waterford,137
2007Q2,Galway,455
2007Q2,Leitrim,86
2007Q2,Mayo,332
2007Q2,Roscommon,134
2007Q2,Sligo,376
2007Q2,Cavan,221
2007Q2,Donegal,271
2007Q2,Monaghan,122
2007Q3,All Counties,8123
2007Q3,Carlow,92
2007Q3,Dublin,1508
2007Q3,Kildare,397
2007Q3,Kilkenny,245
2007Q3,Laois,222
2007Q3,Longford,16
2007Q3,Louth,318
2007Q3,Meath,630
2007Q3,Offaly,70
2007Q3,Westmeath,176
2007Q3,Wexford,283
2007Q3,Wicklow,159
2007Q3,Clare,221
2007Q3,Cork,1147
2007Q3,Kerry,173
2007Q3,Limerick,252
2007Q3,Tipperary,571
2007Q3,Waterford,155
2007Q3,Galway,465
2007Q3,Leitrim,116
2007Q3,Mayo,316
2007Q3,Roscommon,89
2007Q3,Sligo,86
2007Q3,Cavan,156
2007Q3,Donegal,241
2007Q3,Monaghan,19
2007Q4,All Counties,5646
2007Q4,Carlow,26
2007Q4,Dublin,1462
2007Q4,Kildare,149
2007Q4,Kilkenny,15
2007Q4,Laois,276
2007Q4,Longford,22
2007Q4,Louth,132
2007Q4,Meath,346
2007Q4,Offaly,69
2007Q4,Westmeath,118
2007Q4,Wexford,130
2007Q4,Wicklow,248
2007Q4,Clare,220
2007Q4,Cork,538
2007Q4,Kerry,243
2007Q4,Limerick,198
2007Q4,Tipperary,157
2007Q4,Waterford,179
2007Q4,Galway,360
2007Q4,Leitrim,17
2007Q4,Mayo,162
2007Q4,Roscommon,74
2007Q4,Sligo,209
2007Q4,Cavan,128
2007Q4,Donegal,154
2007Q4,Monaghan,14
2008Q1,All Counties,4331
2008Q1,Carlow,56
2008Q1,Dublin,1601
2008Q1,Kildare,159
2008Q1,Kilkenny,80
2008Q1,Laois,59
2008Q1,Longford,5
2008Q1,Louth,159
2008Q1,Meath,185
2008Q1,Offaly,51
2008Q1,Westmeath,24
2008Q1,Wexford,56
2008Q1,Wicklow,15
2008Q1,Clare,98
2008Q1,Cork,481
2008Q1,Kerry,66
2008Q1,Limerick,116
2008Q1,Tipperary,206
2008Q1,Waterford,155
2008Q1,Galway,282
2008Q1,Leitrim,5
2008Q1,Mayo,89
2008Q1,Roscommon,26
2008Q1,Sligo,102
2008Q1,Cavan,106
2008Q1,Donegal,146
2008Q1,Monaghan,3
2008Q2,All Counties,4457
2008Q2,Carlow,98
2008Q2,Dublin,1446
2008Q2,Kildare,183
2008Q2,Kilkenny,49
2008Q2,Laois,131
2008Q2,Longford,0
2008Q2,Louth,105
2008Q2,Meath,218
2008Q2,Offaly,123
2008Q2,Westmeath,35
2008Q2,Wexford,151
2008Q2,Wicklow,138
2008Q2,Clare,20
2008Q2,Cork,621
2008Q2,Kerry,117
2008Q2,Limerick,154
2008Q2,Tipperary,140
2008Q2,Waterford,61
2008Q2,Galway,277
2008Q2,Leitrim,17
2008Q2,Mayo,76
2008Q2,Roscommon,22
2008Q2,Sligo,33
2008Q2,Cavan,31
2008Q2,Donegal,171
2008Q2,Monaghan,40
2008Q3,All Counties,2271
2008Q3,Carlow,70
2008Q3,Dublin,932
2008Q3,Kildare,48
2008Q3,Kilkenny,25
2008Q3,Laois,21
2008Q3,Longford,12
2008Q3,Louth,49
2008Q3,Meath,56
2008Q3,Offaly,6
2008Q3,Westmeath,18
2008Q3,Wexford,78
2008Q3,Wicklow,23
2008Q3,Clare,20
2008Q3,Cork,418
2008Q3,Kerry,31
2008Q3,Limerick,31
2008Q3,Tipperary,121
2008Q3,Waterford,35
2008Q3,Galway,82
2008Q3,Leitrim,22
2008Q3,Mayo,44
2008Q3,Roscommon,19
2008Q3,Sligo,23
2008Q3,Cavan,14
2008Q3,Donegal,35
2008Q3,Monaghan,38
2008Q4,All Counties,1617
2008Q4,Carlow,6
2008Q4,Dublin,571
2008Q4,Kildare,23
2008Q4,Kilkenny,11
2008Q4,Laois,10
2008Q4,Longford,2
2008Q4,Louth,64
2008Q4,Meath,101
2008Q4,Offaly,13
2008Q4,Westmeath,19
2008Q4,Wexford,66
2008Q4,Wicklow,60
2008Q4,Clare,18
2008Q4,Cork,220
2008Q4,Kerry,42
2008Q4,Limerick,13
2008Q4,Tipperary,65
2008Q4,Waterford,59
2008Q4,Galway,87
2008Q4,Leitrim,18
2008Q4,Mayo,31
2008Q4,Roscommon,3
2008Q4,Sligo,5
2008Q4,Cavan,17
2008Q4,Donegal,12
2008Q4,Monaghan,81
2009Q1,All Counties,1166
2009Q1,Carlow,41
2009Q1,Dublin,421
2009Q1,Kildare,44
2009Q1,Kilkenny,12
2009Q1,Laois,25
2009Q1,Longford,2
2009Q1,Louth,66
2009Q1,Meath,21
2009Q1,Offaly,3
2009Q1,Westmeath,5
2009Q1,Wexford,73
2009Q1,Wicklow,28
2009Q1,Clare,21
2009Q1,Cork,114
2009Q1,Kerry,20
2009Q1,Limerick,34
2009Q1,Tipperary,50
2009Q1,Waterford,17
2009Q1,Galway,63
2009Q1,Leitrim,2
2009Q1,Mayo,3
2009Q1,Roscommon,37
2009Q1,Sligo,39
2009Q1,Cavan,13
2009Q1,Donegal,6
2009Q1,Monaghan,6
2009Q2,All Counties,951
2009Q2,Carlow,9
2009Q2,Dublin,345
2009Q2,Kildare,67
2009Q2,Kilkenny,31
2009Q2,Laois,0
2009Q2,Longford,8
2009Q2,Louth,17
2009Q2,Meath,96
2009Q2,Offaly,19
2009Q2,Westmeath,7
2009Q2,Wexford,16
2009Q2,Wicklow,80
2009Q2,Clare,6
2009Q2,Cork,96
2009Q2,Kerry,19
2009Q2,Limerick,7
2009Q2,Tipperary,15
2009Q2,Waterford,27
2009Q2,Galway,8
2009Q2,Leitrim,0
2009Q2,Mayo,4
2009Q2,Roscommon,5
2009Q2,Sligo,47
2009Q2,Cavan,7
2009Q2,Donegal,11
2009Q2,Monaghan,4
2009Q3,All Counties,828
2009Q3,Carlow,3
2009Q3,Dublin,138
2009Q3,Kildare,63
2009Q3,Kilkenny,9
2009Q3,Laois,4
2009Q3,Longford,0
2009Q3,Louth,22
2009Q3,Meath,39
2009Q3,Offaly,3
2009Q3,Westmeath,71
2009Q3,Wexford,19
2009Q3,Wicklow,16
2009Q3,Clare,100
2009Q3,Cork,156
2009Q3,Kerry,21
2009Q3,Limerick,11
2009Q3,Tipperary,12
2009Q3,Waterford,11
2009Q3,Galway,25
2009Q3,Leitrim,3
2009Q3,Mayo,9
2009Q3,Roscommon,2
2009Q3,Sligo,39
2009Q3,Cavan,44
2009Q3,Donegal,4
2009Q3,Monaghan,4
2009Q4,All Counties,798
2009Q4,Carlow,7
2009Q4,Dublin,209
2009Q4,Kildare,22
2009Q4,Kilkenny,15
2009Q4,Laois,1
2009Q4,Longford,0
2009Q4,Louth,19
